TimeStep, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, gyro_w
48.832, -0.863, -0.216, -0.997, -0.732, 0.384, -0.316, -0.466
48.91732, -0.388, 0.200, 2.364, -0.736, 0.405, -0.331, -0.429
48.93866, -1.861, -0.614, -0.852, -0.745, 0.367, -0.354, -0.431
49.32265, -1.190, -1.133, 0.136, -0.715, 0.366, -0.316, -0.505
49.34399, -1.705, -0.770, -0.916, -0.701, 0.383, -0.315, -0.513
49.36533, -0.498, 0.055, 1.316, -0.690, 0.402, -0.308, -0.518
49.42932, -2.039, -0.668, -0.478, -0.707, 0.360, -0.344, -0.502
49.55732, -3.412, -0.303, -0.591, -0.718, 0.351, -0.344, -0.492
49.70664, -3.512, -0.250, -0.343, -0.699, 0.340, -0.330, -0.535
49.77066, 0.629, 0.459, 0.778, -0.670, 0.386, -0.263, -0.577
49.91998, -0.361, -0.879, -1.907, -0.547, 0.269, -0.250, -0.752
50.47465, 0.672, -0.873, -0.511, -0.469, -0.134, -0.238, -0.840
50.752, -0.595, 1.800, -1.892, -0.332, 0.155, -0.851, -0.375
50.81599, -0.703, 1.589, -0.519, -0.368, 0.175, -0.840, -0.358
50.83733, -0.386, 1.082, -0.057, -0.457, 0.133, -0.779, -0.407
50.87998, 0.595, -2.256, 1.078, -0.507, 0.106, -0.730, -0.445
51.24265, -1.326, 1.492, -0.212, -0.492, 0.291, -0.747, -0.341
56.31998, -1.880, 1.264, -0.110, -0.530, 0.071, -0.710, -0.457
75.15733, 0.453, 0.509, -3.515, 0.225, -0.191, -0.615, 0.731
75.60533, -0.620, 1.028, -1.319, 0.373, -0.316, -0.322, 0.811
75.66932, -1.445, 0.387, -3.861, 0.146, -0.254, -0.425, 0.856
75.712, -0.875, 0.035, -1.782, 0.045, -0.210, -0.428, 0.878
104.9387, 1.921, 0.728, 2.073, 0.680, -0.283, -0.403, 0.543
104.9813, 0.152, 1.512, -1.052, 0.638, -0.268, -0.354, 0.630
105.024, -2.157, -0.284, -3.657, 0.400, -0.238, -0.252, 0.848
105.8133, -0.310, -0.174, -2.565, 0.371, -0.414, -0.213, 0.803
105.8346, 0.520, -1.093, -3.235, 0.265, -0.384, -0.289, 0.836
106.304, -1.168, -0.857, -2.634, 0.286, -0.027, -0.140, 0.948
106.3253, -0.107, -0.369, -0.523, 0.286, -0.019, -0.143, 0.947
106.7093, 0.088, 0.241, -0.483, -0.470, 0.101, -0.243, -0.842
106.8373, -1.454, 2.354, -1.284, -0.480, 0.173, -0.610, -0.606
106.944, -1.446, 1.859, -0.193, -0.413, 0.162, -0.777, -0.447
107.008, 3.939, -1.306, 1.444, -0.550, 0.034, -0.468, -0.691
107.0507, 4.537, -2.377, 0.270, -0.550, -0.109, -0.277, -0.780
107.1146, 0.945, -1.132, -0.523, -0.447, -0.215, -0.328, -0.804
107.136, 0.051, -0.551, 0.508, -0.487, -0.210, -0.429, -0.731
107.712, -0.615, 1.492, -0.248, -0.383, 0.132, -0.807, -0.429
107.7333, 0.450, 0.565, 1.041, -0.456, 0.051, -0.691, -0.558
107.776, 3.369, -0.891, 0.040, -0.514, -0.030, -0.515, -0.686
107.8187, 4.507, -2.079, -1.893, -0.509, -0.057, -0.421, -0.749
107.8827, 1.079, -1.081, -0.449, -0.437, -0.209, -0.444, -0.754
108.032, -3.268, 3.085, -1.106, -0.498, 0.048, -0.787, -0.360
108.096, -1.196, 1.623, -0.400, -0.483, 0.156, -0.769, -0.388
108.16, 2.307, -1.791, 0.678, -0.514, 0.112, -0.683, -0.507
108.1813, 3.441, -3.386, -0.490, -0.552, 0.025, -0.572, -0.606
108.224, 0.052, -0.979, -1.235, -0.544, -0.046, -0.564, -0.620
108.2453, -1.199, 0.530, -0.493, -0.542, -0.027, -0.622, -0.565
108.3093, -2.047, 1.314, -0.958, -0.563, 0.063, -0.647, -0.510
108.352, 0.706, -0.435, 0.083, -0.559, 0.046, -0.578, -0.593
108.3733, 1.596, -1.288, -0.951, -0.567, -0.017, -0.447, -0.692
108.5013, 1.326, -0.675, -2.165, -0.517, -0.173, -0.291, -0.786
108.544, 1.930, -0.158, -1.024, -0.520, -0.177, -0.272, -0.790
108.5866, 1.164, 0.645, 0.995, -0.621, -0.241, -0.333, -0.668
108.608, 0.031, 1.013, 1.972, -0.749, -0.169, -0.320, -0.554
108.7787, -1.189, 0.521, 1.575, -0.878, -0.016, -0.400, -0.261
108.992, 1.159, 0.086, -0.371, -0.510, -0.337, -0.593, -0.524
109.3333, 2.410, 0.079, 1.122, -0.487, -0.116, -0.383, -0.777
109.376, 1.869, -0.973, 1.435, -0.618, -0.089, -0.161, -0.764
109.8453, 0.429, 0.723, -0.349, -0.471, -0.117, -0.071, -0.872
109.9307, -0.359, 1.513, -0.692, -0.124, 0.142, -0.357, -0.915
110.1866, 0.310, 0.641, -0.786, -0.082, -0.003, -0.167, -0.983
110.208, 2.879, -0.995, 0.373, -0.138, -0.053, -0.092, -0.985
110.2507, 1.921, -1.320, -1.710, 0.200, 0.097, -0.062, 0.973
110.2933, 1.326, -1.018, -2.655, 0.145, 0.057, -0.111, 0.982
110.5707, -2.382, 1.002, 0.918, -0.491, 0.167, -0.543, -0.660
110.8053, 1.029, 0.528, -1.791, 0.010, -0.115, -0.048, -0.992
111.1466, -0.402, -0.461, 0.240, -0.419, 0.178, -0.200, -0.868
111.168, 1.993, 0.277, -0.690, -0.352, 0.063, -0.192, -0.914
111.2533, 1.505, 1.318, -5.416, -0.118, -0.061, -0.087, -0.987
111.2747, 0.709, 0.813, -1.528, -0.074, -0.047, -0.160, -0.983
111.296, 0.381, 0.256, -0.779, -0.189, -0.055, -0.224, -0.954
111.7013, 3.106, 1.131, -2.488, -0.360, 0.071, -0.197, -0.909
111.744, 2.408, 0.555, -6.134, -0.147, -0.051, -0.146, -0.977
111.808, 1.000, 0.219, -1.182, -0.070, -0.065, -0.197, -0.976
112.1066, -2.239, 1.520, 0.301, -0.506, 0.195, -0.739, -0.400
112.3627, 1.101, 0.132, -4.262, -0.272, 0.007, -0.285, -0.919
113.856, -1.954, 1.008, 0.030, -0.410, 0.227, -0.759, -0.451
114.0907, 0.903, 0.122, -1.423, -0.383, 0.122, -0.442, -0.802
114.112, 0.385, -0.184, -1.894, -0.328, 0.078, -0.334, -0.880
116.7573, 0.795, 0.353, 1.243, 0.470, -0.198, -0.173, 0.842
116.7787, -0.518, 0.943, -0.983, 0.409, -0.176, -0.128, 0.886
116.8, -1.634, 0.511, -3.435, 0.272, -0.165, -0.079, 0.945
116.992, -0.628, 0.422, -1.593, 0.126, -0.247, -0.073, 0.958
117.248, -0.414, 0.711, -0.679, 0.462, -0.188, -0.136, 0.856
117.312, -1.529, 0.207, -3.121, 0.216, -0.171, -0.080, 0.958
117.568, 1.531, -0.237, -0.664, 0.214, -0.194, -0.216, 0.933
117.7387, -0.397, 0.086, -0.414, 0.283, -0.164, -0.177, 0.928
117.9093, -1.014, 0.600, -1.661, 0.193, -0.103, -0.075, 0.973
118.8907, 0.943, -0.114, 0.150, 0.227, -0.243, -0.231, 0.915
119.04, -1.009, 0.781, -1.133, 0.269, -0.261, -0.252, 0.892
119.104, -2.651, 0.163, -2.950, 0.145, -0.169, -0.118, 0.968
119.9573, 0.172, -0.060, 0.240, 0.347, -0.224, -0.216, 0.885
120.2773, 0.962, -0.178, -0.392, 0.195, -0.306, -0.247, 0.899
122.6666, -0.152, -0.183, 0.055, 0.478, -0.271, -0.145, 0.823
124.0746, 0.809, -0.427, 0.702, 0.383, -0.186, -0.105, 0.899
128.4907, -0.637, -0.831, -2.561, -0.329, -0.055, -0.062, -0.941
128.5333, 0.133, -0.497, -0.448, -0.301, -0.076, -0.092, -0.946
129.152, 1.193, 0.394, 2.068, -0.330, -0.299, -0.784, -0.432
129.216, 1.771, -1.866, 0.369, -0.527, -0.312, -0.485, -0.625
129.6427, 1.456, -1.159, 2.480, -0.639, -0.380, -0.366, -0.560
129.856, 0.176, 0.998, -2.344, -0.001, -0.080, -0.940, -0.332
130.2187, 1.587, -2.811, 2.959, -0.508, -0.076, -0.615, -0.599
130.2827, 0.810, -2.274, 0.523, -0.601, -0.163, -0.410, -0.666
130.3893, 1.014, 0.819, -0.916, -0.425, -0.074, -0.585, -0.687
130.4533, 0.013, 2.317, -3.077, -0.251, 0.014, -0.832, -0.494
130.624, 0.782, -0.861, 0.749, -0.430, -0.045, -0.691, -0.580
130.688, 0.254, -2.535, 0.988, -0.575, -0.100, -0.517, -0.626
131.0507, 0.793, -0.450, 0.466, -0.400, -0.062, -0.752, -0.521
131.072, 1.756, -1.461, 2.435, -0.534, -0.123, -0.592, -0.591
131.136, 0.567, -1.923, 0.990, -0.640, -0.192, -0.443, -0.598
131.5413, 1.259, -0.676, 0.584, -0.497, -0.088, -0.575, -0.644
