TimeStep, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, gyro_w
56.34132, -3.910, -1.589, 0.722, -0.283, 0.170, 0.691, 0.643
56.44798, -1.395, -3.246, -1.444, -0.115, 0.356, 0.898, -0.230
57.21599, -1.589, -0.685, -2.578, 0.324, 0.272, 0.887, -0.187
57.40798, 0.305, 0.315, 1.608, -0.314, -0.188, 0.871, -0.328
57.45066, 0.666, 0.737, 2.278, -0.450, -0.235, 0.819, -0.269
57.57866, -0.235, -0.419, -0.038, -0.412, -0.147, 0.863, -0.252
57.59998, -1.276, -2.135, -2.295, -0.227, 0.052, 0.938, -0.258
57.64265, -0.976, -2.796, -4.839, -0.155, 0.143, 0.941, -0.263
57.72798, -0.440, -0.969, -0.685, -0.180, 0.215, 0.927, -0.250
57.74932, 0.082, -0.428, -0.151, -0.249, 0.164, 0.920, -0.253
57.81331, 0.591, 1.140, 1.428, -0.404, -0.118, 0.856, -0.299
57.94131, -0.152, -0.257, 0.376, -0.521, -0.173, 0.803, -0.231
57.98399, -1.340, -0.683, -0.040, -0.431, -0.067, 0.870, -0.228
58.02665, -2.067, -1.640, -0.369, -0.279, 0.089, 0.944, -0.149
58.112, -1.171, -1.411, -2.109, 0.020, 0.258, 0.941, -0.219
58.15465, 0.524, -0.336, 0.562, -0.113, 0.210, 0.942, -0.237
58.36798, -0.562, -0.383, 0.213, -0.193, 0.106, 0.952, -0.211
58.36798, -1.501, -1.515, -3.549, -0.078, 0.185, 0.958, -0.206
58.49599, -0.190, -0.381, -0.694, 0.051, 0.204, 0.950, -0.229
58.51732, 0.470, 0.011, 0.278, -0.069, 0.179, 0.953, -0.234
58.752, -1.100, -1.514, -2.459, -0.087, 0.211, 0.956, -0.185
58.87998, -0.316, 0.322, -0.351, -0.222, 0.330, 0.906, -0.147
58.92265, 0.310, 0.625, 0.136, -0.442, 0.413, 0.796, -0.024
61.99465, 0.445, 1.653, -0.294, -0.510, 0.471, 0.276, 0.665
62.18665, 1.475, 2.698, 0.747, -0.473, 0.538, 0.419, 0.559
62.22932, 0.035, -1.786, -0.226, -0.454, 0.577, 0.447, 0.511
62.37866, 0.901, 1.133, 0.173, -0.376, 0.544, 0.618, 0.426
62.93331, 0.834, 0.112, -0.085, -0.326, 0.527, 0.617, 0.485
63.08265, 0.256, -0.297, -0.412, -0.304, 0.558, 0.599, 0.487
63.50932, 1.142, 0.225, -0.075, -0.274, 0.567, 0.617, 0.472
63.72265, 0.519, -0.279, -0.317, -0.195, 0.556, 0.695, 0.411
63.74399, 1.036, 0.736, 0.050, -0.261, 0.559, 0.638, 0.461
63.85066, 0.389, -1.024, -0.374, -0.305, 0.561, 0.597, 0.487
63.93599, 1.228, 0.180, -0.047, -0.263, 0.578, 0.634, 0.442
64.06399, 0.589, -1.150, -0.685, -0.324, 0.563, 0.565, 0.508
64.40533, 1.142, 1.346, 0.305, -0.409, 0.529, 0.573, 0.474
64.63998, 1.033, 1.224, 0.130, -0.396, 0.536, 0.546, 0.507
64.70399, 0.374, 1.156, 0.082, -0.470, 0.511, 0.447, 0.564
64.78932, 0.697, -3.880, -0.578, -0.334, 0.552, 0.598, 0.476
64.83199, 1.468, 0.518, 0.070, -0.323, 0.562, 0.623, 0.438
64.93866, 0.429, 0.133, -0.370, -0.442, 0.477, 0.480, 0.589
65.15199, 0.975, 1.550, 0.246, -0.552, 0.392, 0.326, 0.660
65.21599, 0.039, 0.442, 0.011, -0.527, 0.445, 0.336, 0.641
65.38664, 1.408, 1.943, 0.265, -0.254, 0.552, 0.593, 0.528
65.49331, 0.547, 0.221, -0.333, -0.424, 0.538, 0.447, 0.575
65.64265, 1.154, 1.547, 0.393, -0.391, 0.550, 0.535, 0.508
65.72798, 0.531, 0.970, 0.128, -0.444, 0.532, 0.459, 0.555
65.87733, 0.768, 1.577, 0.210, -0.407, 0.494, 0.535, 0.552
66.11199, 0.885, 1.237, -0.251, -0.368, 0.487, 0.559, 0.561
66.36798, 1.062, 1.475, 0.097, -0.376, 0.521, 0.556, 0.528
66.53867, 0.704, 0.466, -0.355, -0.212, 0.542, 0.706, 0.404
66.58131, 1.145, 1.264, 0.084, -0.316, 0.532, 0.617, 0.486
66.66664, 0.446, 0.635, 0.030, -0.411, 0.511, 0.515, 0.552
66.77331, 1.058, 0.928, -0.194, -0.300, 0.525, 0.633, 0.483
66.81599, 1.378, 2.090, 0.591, -0.384, 0.505, 0.539, 0.553
66.90131, -0.194, 0.563, -0.143, -0.354, 0.510, 0.589, 0.517
66.90131, -0.541, -1.813, -1.203, -0.215, 0.503, 0.722, 0.424
67.00798, 1.272, 1.824, 0.281, -0.170, 0.509, 0.764, 0.358
67.072, 0.510, 0.866, 0.371, -0.348, 0.507, 0.598, 0.513
67.11465, 0.000, -1.057, -0.982, -0.329, 0.504, 0.631, 0.490
67.22131, 0.903, 0.922, -0.269, -0.238, 0.507, 0.702, 0.440
67.24265, 1.607, 2.054, 0.832, -0.341, 0.507, 0.587, 0.531
67.32798, -0.271, 0.116, -0.550, -0.301, 0.510, 0.639, 0.491
67.45599, 0.850, 1.152, -0.183, -0.174, 0.511, 0.745, 0.392
67.47733, 1.480, 1.823, 0.839, -0.315, 0.511, 0.640, 0.479
67.51997, 0.367, 0.719, 0.130, -0.334, 0.511, 0.630, 0.480
67.54131, -0.159, -1.382, -1.025, -0.234, 0.501, 0.727, 0.407
67.64798, 0.625, 0.312, -0.306, -0.182, 0.515, 0.764, 0.344
67.69066, 1.543, 1.706, 0.603, -0.244, 0.524, 0.716, 0.391
67.75465, -1.015, 0.217, -0.939, -0.290, 0.526, 0.685, 0.412
67.96798, 0.185, 0.048, -0.292, -0.008, 0.433, 0.897, -0.090
68.01066, -0.508, -0.865, -0.949, 0.008, 0.422, 0.896, -0.137
68.18131, -0.283, -1.016, -0.764, 0.005, 0.394, 0.902, -0.179
68.41599, 0.219, 1.538, 0.441, -0.543, 0.440, 0.546, 0.461
68.45866, -1.049, -0.401, 0.804, -0.522, 0.468, 0.568, 0.432
68.47998, -1.716, -1.663, -1.044, -0.411, 0.508, 0.705, 0.275
68.60798, -0.400, -1.195, -1.134, 0.039, 0.379, 0.920, -0.094
68.69331, 0.163, -0.334, 0.109, -0.248, 0.469, 0.847, 0.030
68.97066, 0.713, 1.895, 2.159, -0.676, 0.407, 0.584, 0.189
69.05598, 0.282, 1.016, 0.730, -0.729, 0.454, 0.408, 0.309
69.14131, 0.227, -3.439, -1.779, -0.434, 0.534, 0.690, 0.225
69.39732, -0.416, 0.218, -0.274, -0.590, 0.493, 0.543, 0.338
69.73866, -1.049, -1.402, -1.817, 0.124, 0.369, 0.889, -0.241
69.90932, 0.353, 0.010, 0.363, -0.150, 0.499, 0.842, -0.140
70.01598, -0.235, -1.284, -1.011, -0.174, 0.436, 0.872, -0.138
70.03732, -0.571, -2.166, -2.355, -0.130, 0.416, 0.887, -0.152
70.10132, 0.098, 0.052, 0.059, -0.220, 0.481, 0.843, -0.092
70.65598, 0.143, -0.926, -0.601, -0.321, 0.442, 0.834, -0.075
70.76265, 0.394, -0.162, -0.286, -0.243, 0.413, 0.872, -0.101
70.86932, -0.015, -1.509, -1.721, -0.337, 0.413, 0.843, -0.072
71.38132, -0.517, -0.051, -0.440, -0.109, -0.419, -0.528, 0.731
71.50932, 0.320, -0.259, -0.052, -0.126, -0.411, -0.525, 0.735
71.59465, -0.179, -0.372, 0.263, -0.019, -0.552, -0.531, 0.643
80.74664, -0.391, 0.341, -0.917, -0.036, -0.457, -0.607, 0.649
80.95998, -1.258, -0.199, -0.751, -0.092, -0.448, -0.633, 0.625
81.00266, -0.300, 0.189, -1.669, -0.097, -0.410, -0.650, 0.633
81.06664, 1.606, -0.542, 0.812, -0.058, -0.598, -0.694, 0.396
